ticker,nome,tipo,bench,settore,sost
VFEM.DE,Vanguard FTSE Emerging Markets UCITS ETF (USD) Distributing,etf,^GSPC,ETF,False
IUSM.DE,iShares USD Treasury Bond 7-10yr UCITS ETF (Dist),etf,^GSPC,ETF,False
LBNK.DE,Amundi STOXX Europe 600 Banks UCITS ETF Acc,etf,^STOXX50E,ETF,False
XXSC.DE,Xtrackers MSCI Europe Small Cap UCITS ETF 1C,etf,^GSPC,ETF,False
CSY1.DE,UBS MSCI USA NSL UCITS ETF USD acc,etf,^GSPC,ETF,False
JEQP.DE,JPMorgan Nasdaq Equity Premium Income Active UCITS ETF USD (dist),etf,^GSPC,ETF,False
IXUA.DE,iShares MSCI World ex-USA UCITS ETF USD (Acc),etf,^GSPC,ETF,False
IUST.DE,iShares USD TIPS UCITS ETF USD (Acc),etf,^GSPC,ETF,False
VUCE.DE,Vanguard USD Corporate Bond UCITS ETF Accumulating,etf,^GSPC,ETF,False
VNRT.DE,Vanguard FTSE North America UCITS ETF (USD) Distributing,etf,^GSPC,ETF,False
XUSW.DE,Xtrackers MSCI USA Swap UCITS ETF 1D,etf,^GSPC,ETF,False
EXSI.DE,iShares EURO STOXX UCITS ETF (DE),etf,^STOXX50E,ETF,False
IS0E.DE,iShares Gold Producers UCITS ETF,etf,^GSPC,ETF,False
VWCG.DE,Vanguard FTSE Developed Europe UCITS ETF (EUR) Accumulating,etf,^STOXX50E,ETF,False
IUS3.DE,iShares S&P SmallCap 600 UCITS ETF,etf,^GSPC,ETF,False
EXI2.DE,iShares Dow Jones Global Titans 50 UCITS ETF (DE) EUR (Dist),etf,^STOXX50E,ETF,False
XDEQ.DE,Xtrackers MSCI World Quality UCITS ETF 1C,etf,^GSPC,ETF,False
F50A.DE,Amundi Prime Global UCITS ETF Acc,etf,^GSPC,ETF,False
4UBB.DE,UBS Core MSCI USA UCITS ETF USD acc,etf,^GSPC,ETF,False
VNRA.DE,Vanguard FTSE North America UCITS ETF (USD) Accumulating,etf,^GSPC,ETF,False
AUM5.DE,Amundi S&P 500 Swap UCITS ETF EUR Acc,etf,^STOXX50E,ETF,False
LYPG.DE,Amundi MSCI World Information Technology UCITS ETF EUR Acc,etf,^STOXX50E,ETF,False
E500.DE,Invesco S&P 500 EUR Hedged UCITS ETF,etf,^STOXX50E,ETF,False
VJPN.DE,Vanguard FTSE Japan UCITS ETF (USD) Distributing,etf,^GSPC,ETF,False
ASWC.DE,HANetf Future of Defence UCITS ETF,etf,^GSPC,ETF,False
VGWE.DE,Vanguard FTSE All-World High Dividend Yield UCITS ETF Acc,etf,^GSPC,ETF,False
VECA.DE,Vanguard EUR Corporate Bond UCITS ETF Accumulating,etf,^STOXX50E,ETF,False
UIMI.DE,UBS Core MSCI EM UCITS ETF USD dis,etf,^GSPC,ETF,False
ERNX.DE,iShares EUR Ultrashort Bond UCITS ETF EUR (Acc),etf,^STOXX50E,ETF,False
36BZ.DE,iShares MSCI China A UCITS ETF,etf,^GSPC,ETF,False
G2X.DE,VanEck Gold Miners UCITS ETF,etf,^GSPC,ETF,False
PR1J.DE,Amundi Prime Japan UCITS ETF DR (D),etf,^GSPC,ETF,False
QDVG.DE,iShares S&P 500 Health Care Sector UCITS ETF (Acc),etf,^GSPC,ETF,False
VAGY.DE,Vanguard USD Corporate 1-3 Year Bond UCITS ETF Accumulating,etf,^GSPC,ETF,False
XRS2.DE,Xtrackers Russell 2000 UCITS ETF 1C,etf,^GSPC,ETF,False
CEMS.DE,iShares Edge MSCI Europe Value Factor UCITS ETF,etf,^STOXX50E,ETF,False
EUNA.DE,iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),etf,^STOXX50E,ETF,False
